Annual Revenue,RiskRating,Limit Usage,EBITA Margin,Islisted,State,Country,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,Est. Value,Industry,Job Title,Lead Source,No. of Employees,Rating,Conversion
150000,2,27,19,0,7,1,0,0,0,0,34500,10,1,0,40,2,1
30000,0,71,18,1,5,1,0,0,0,0,25500,0,0,0,4,2,1
300000,0,64,19,0,5,1,0,0,0,0,66000,9,1,0,79,2,0
300000,2,79,15,0,5,1,0,0,0,0,76500,1,1,1,82,2,0
300000,2,18,18,0,3,0,0,0,0,0,3600,5,1,3,95,1,0
30000,0,25,19,1,12,0,0,0,0,0,18000,13,0,0,5,0,0
150000,2,34,17,1,5,1,0,0,0,0,54000,6,1,2,40,0,0
150000,0,16,18,1,2,2,0,0,1,0,23000,12,2,1,37,2,0
80000,2,14,19,1,2,2,0,1,0,0,23000,12,2,2,10,2,1
30000,2,97,16,1,13,0,1,0,0,0,32000,13,0,3,2,1,1
300000,1,79,18,0,8,0,0,0,0,0,54000,4,1,3,83,0,1
80000,1,57,17,0,4,2,0,0,0,0,18000,15,0,1,14,0,1
300000,2,58,15,1,6,1,0,1,0,0,66000,2,1,1,70,2,0
80000,2,36,19,1,2,2,1,1,0,0,32000,10,0,1,14,1,1
150000,1,89,20,1,2,2,0,0,0,0,44000,15,2,2,40,2,1
300000,2,29,20,0,12,0,0,1,0,0,66000,4,1,0,52,2,1
300000,1,69,16,1,12,0,0,0,0,0,66000,9,1,3,52,2,1
150000,1,75,15,0,8,0,0,0,0,0,44000,15,2,3,49,2,0
300000,2,23,17,0,9,1,0,0,0,0,54000,10,1,0,58,0,0
30000,0,39,16,0,13,0,0,0,0,0,25500,15,0,0,2,2,1
150000,2,63,18,0,12,0,1,0,0,0,64000,9,2,0,42,1,1
150000,2,23,18,0,1,1,0,1,0,0,66000,13,1,3,43,2,0
150000,0,43,16,1,4,2,0,1,0,0,51000,6,2,1,39,2,0
30000,2,42,20,1,11,2,0,0,0,0,1200,14,0,2,2,1,1
30000,1,36,15,0,5,1,0,0,0,0,11500,13,0,3,6,2,1
300000,0,54,18,0,6,1,1,0,0,0,96000,3,1,3,94,1,0
300000,1,25,18,0,13,0,0,0,0,0,3600,9,1,2,94,1,1
300000,0,33,15,0,3,0,0,0,0,0,54000,11,1,2,99,0,1
300000,2,62,17,1,9,1,1,0,0,0,96000,0,1,3,95,1,1
30000,1,84,20,0,4,2,0,0,0,0,11500,15,0,2,4,2,1
150000,0,29,20,0,8,0,0,0,0,0,36000,9,2,3,48,0,0
80000,1,54,19,1,3,0,0,0,0,0,22000,8,0,0,17,2,0
80000,2,88,18,0,10,2,0,0,0,0,51000,4,2,1,13,2,0
300000,2,67,20,1,12,0,1,0,1,0,96000,8,1,0,90,1,0
30000,1,92,19,1,11,2,0,0,0,0,25500,4,0,1,9,2,1
150000,2,76,19,1,8,0,1,0,0,0,64000,11,2,1,40,1,1
150000,1,47,19,1,11,2,0,0,0,0,44000,13,2,1,43,2,1
80000,0,49,19,1,5,1,0,0,0,0,11500,7,0,1,19,2,0
80000,1,41,20,1,1,1,0,0,0,0,1200,4,0,2,14,1,0
300000,1,35,16,0,1,1,0,0,0,0,34500,7,1,3,92,2,1
300000,2,48,17,0,1,1,0,0,0,0,34500,14,1,1,89,2,0
80000,1,75,19,1,0,2,0,0,0,0,51000,11,2,2,16,2,1
30000,0,60,19,0,1,1,0,1,0,0,1200,6,0,3,2,1,0
30000,0,32,17,0,8,0,0,0,0,0,25500,11,0,0,7,2,1
150000,2,75,17,1,9,1,0,0,0,0,23000,7,2,1,36,2,1
100000,2,46,18,1,13,0,0,0,0,0,36000,2,2,3,25,0,0
150000,1,44,16,1,9,1,0,0,0,0,66000,11,1,1,49,2,0
300000,2,25,15,0,1,1,0,0,0,0,76500,15,1,0,90,2,0
150000,1,46,16,0,9,1,0,0,0,0,51000,5,2,3,46,2,0
80000,0,48,18,1,8,0,0,0,0,0,1200,13,0,3,14,1,0
150000,2,77,19,1,10,2,0,0,0,0,23000,15,2,2,32,2,0
300000,1,61,20,0,2,2,0,0,0,0,66000,9,1,0,73,2,1
30000,0,95,18,1,7,1,0,0,0,0,22000,13,0,3,9,2,1
80000,0,89,20,1,10,2,0,0,0,0,2400,14,2,3,13,1,1
150000,1,95,17,0,6,1,0,1,0,0,2400,7,2,2,38,1,1
30000,2,11,15,0,7,1,0,0,0,0,1200,7,0,0,6,1,1
300000,0,96,19,1,9,1,0,0,0,0,34500,0,1,2,96,2,1
100000,1,29,18,1,11,2,0,0,0,0,23000,6,2,0,25,2,1
300000,2,95,16,0,11,2,0,0,0,0,54000,11,1,3,66,0,0
30000,1,16,20,0,6,1,0,0,0,0,25500,0,0,0,5,2,0
150000,2,47,19,0,0,2,0,0,0,0,2400,8,2,3,37,1,0
30000,2,86,16,1,1,1,0,0,0,0,1200,8,0,1,8,1,0
100000,2,64,18,1,6,1,0,0,0,0,36000,1,2,1,28,0,1
80000,2,75,17,1,10,2,0,0,0,0,11500,0,0,2,10,2,0
30000,2,26,15,1,0,2,1,0,0,0,32000,14,0,0,6,1,1
80000,0,18,20,1,8,0,0,0,0,0,36000,12,2,0,13,0,0
80000,2,27,16,0,5,1,0,0,0,0,18000,6,0,0,18,0,1
30000,0,84,16,1,10,2,0,0,0,0,11500,0,0,2,8,2,1
300000,0,48,17,0,13,0,0,0,0,0,76500,3,1,3,88,2,1
80000,0,24,20,0,8,0,0,0,0,0,36000,8,2,0,10,0,1
300000,1,23,20,0,9,1,1,0,1,0,96000,0,1,2,84,1,1
300000,2,20,20,1,7,1,0,0,0,0,76500,0,1,2,91,2,1
30000,1,100,20,0,0,2,1,0,0,0,32000,12,0,1,3,1,1
80000,0,35,19,0,4,2,0,0,0,0,11500,12,0,1,16,2,0
150000,0,68,17,0,10,2,1,0,0,0,64000,5,2,0,32,1,0
150000,1,79,20,1,0,2,0,0,0,0,51000,14,2,1,45,2,0
80000,2,78,15,0,4,2,0,0,0,0,18000,4,0,3,14,0,1
30000,1,18,20,0,1,1,0,0,0,0,1200,1,0,0,5,1,0
150000,1,61,15,1,13,0,0,0,0,0,23000,11,2,3,33,2,1
80000,1,17,18,1,5,1,0,0,0,0,1200,11,0,1,17,1,0
30000,2,10,17,1,4,2,1,0,0,0,32000,15,0,3,5,1,0
80000,1,10,20,0,1,1,1,0,0,0,32000,4,0,2,13,1,0
80000,2,65,19,1,6,1,1,0,0,0,32000,14,0,3,17,1,1
100000,0,24,17,1,10,2,0,0,0,0,23000,11,2,1,28,2,1
30000,1,27,19,0,10,2,0,0,0,0,22000,12,0,1,8,2,1
300000,2,74,17,1,0,2,0,0,0,0,3600,10,1,2,87,1,1
80000,2,38,19,1,10,2,0,0,0,0,18000,6,0,0,19,0,0
300000,0,36,19,0,5,1,0,0,0,0,34500,1,1,2,97,2,0
80000,0,65,19,1,5,1,0,0,0,0,11500,14,0,1,17,2,0
150000,1,78,15,1,6,1,0,0,0,0,2400,10,2,0,39,1,0
30000,0,22,17,1,2,2,0,0,0,0,1200,1,0,3,2,1,1
80000,0,97,18,0,10,2,1,0,0,0,32000,1,0,1,18,1,1
300000,1,100,18,1,9,1,0,0,0,0,66000,15,1,2,97,2,1
300000,0,15,16,0,11,2,0,0,0,0,76500,0,1,2,67,2,1
30000,2,95,18,1,5,1,0,0,1,0,11500,15,0,2,5,2,0
300000,1,33,19,0,6,1,0,0,0,0,66000,14,1,1,83,2,0
80000,2,34,19,1,13,0,0,0,0,0,22000,8,0,1,16,2,0
300000,1,24,19,1,6,1,0,0,0,0,54000,1,1,3,76,0,0
300000,1,73,15,1,8,0,0,1,0,0,84000,5,1,0,73,0,1
300000,1,70,20,0,2,2,0,0,0,0,3600,14,1,1,90,1,1
100000,0,75,18,0,11,2,1,0,0,0,64000,15,2,3,27,1,1
